"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS","2016-04-04",NA,1.17182728271031,5.07151378524079,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2016-04-04",NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In","2016-05-02",NA,0.346008726847022,-0.225132177529409,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out","2016-05-02",NA,0.424719557952742,1.17337592177677,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet","2016-05-02",NA,0.880496847725209,0.524822739832093,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated","2016-05-02",NA,1.4554156687342,1.18701346536862,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2016-05-02",NA,0.899565227574136,3.25574084410009,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2016-05-02",NA,0.0217028981382086,-1.10068447216424,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2016-05-02",NA,0.642930641637453,-0.562881341808215,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2016-05-02",NA,0.363213280094174,0.352923702460627,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2016-05-02",NA,-0.0269420853841013,-0.291530629768418,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2016-05-02",NA,0.445508393126384,-0.779652296804479,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2016-05-02",NA,0.509165240140846,-0.737419903745846,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2016-05-02",NA,1.54473597434233,0.952865640311778,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2016-05-02",NA,-0.0269420853841013,-0.72165213817205,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2016-05-02",NA,0.300560032019129,-0.796369285723521,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2016-05-02",NA,1.2194265466941,-0.002752232830046,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2016-05-02",NA,0.657554511897532,-0.209295030132422,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2016-05-02",NA,1.38702756957677,-0.382403849596714,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2016-05-02",NA,0.764652855861053,0.635462811230491,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2016-05-02",NA,0.536119040228051,1.01907371484641,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2016-05-02",NA,1.7496135292605,1.18954300974453,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2016-05-02",NA,1.70688888869674,0.605438219290369,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","2016-05-02",NA,1.29799400652276,-0.294639657771743,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated","2016-05-02",NA,0.466870713408265,0.682204392089655,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2016-05-02",NA,0.1,0.1,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2016-05-02",NA,1.28250990860033,-0.144406717880877,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2016-05-02",NA,1.36967964505256,-0.218423385923741,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2016-05-02",NA,5.95956770883858,2.72002733735894,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2016-05-02",NA,2.67347195945967,-2.12896266382716,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2016-05-02",NA,13.3616735828036,2.06367586273677,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2016-05-02",NA,0.610241990467864,2.34345516591947,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2016-05-02",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2016-05-02",NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2016-05-02",NA,3.13328972416269,7.38835647319172,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2016-05-02",NA,0.931537022358426,-0.164423112507625,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2016-05-02",NA,0.957487223506214,-0.0505936155917786,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2016-05-02",NA,0.767520281402244,-0.251857363761826,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2016-05-02",NA,0.989172275736385,-0.180480220285126,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR","2016-05-02",NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS","2016-05-02",NA,-0.0269420853841013,-0.580276412296546,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2016-05-02",NA,3.19207194775713,4.82438829773363,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2016-05-02",NA,0.330381257647526,-0.470388001802199,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2016-05-02",NA,3.82935727428705,-0.124830244015157,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2016-05-02",NA,0.399916327021432,1.08891113565951,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2016-05-02",NA,0.839062548654985,0.00153699458997103,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In","2016-06-06",NA,1.9694342762724,-2.12896266382716,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out","2016-06-06",NA,2.11288256550713,-0.723348646882556,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet","2016-06-06",NA,3.74786704394387,2.05349681047374,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated","2016-06-06",NA,2.91717104173912,1.53538305028519,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2016-06-06",NA,-0.0269420853841013,-0.466836529854042,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2016-06-06",NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2016-06-06",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2016-06-06",NA,0.364778167758816,2.71430775359185,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2016-06-06",NA,1.43019911628549,-1.02826781245084,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2016-06-06",NA,1.75882610616869,-0.939596957181726,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2016-06-06",NA,1.29245615673623,-2.12896266382716,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2016-06-06",NA,2.85707476198959,0.108536816176414,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2016-06-06",NA,-0.0269420853841013,-0.951472518155269,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2016-06-06",NA,2.33017412181383,-0.768475778582017,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2016-06-06",NA,3.15646886968978,-0.813829111442878,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2016-06-06",NA,3.00226195876245,-0.869700798308878,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2016-06-06",NA,2.39130265415817,-1.06762681453458,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","2016-06-06",NA,2.44949701694999,1.27434691002866,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated","2016-06-06",NA,2.91717104173912,1.53538305028519,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2016-06-06",NA,3.15413094102002,7.59280884677757,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2016-06-06",NA,-0.0269420853841013,-0.863932668693157,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2016-06-06",NA,1.35032450068888,-1.15889898315981,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2016-06-06",NA,9.95249458160465,3.79388854629154,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2016-06-06",NA,3.51211766289899,0.108536816176414,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2016-06-06",NA,8.37247584840962,3.08001123671788,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2016-06-06",NA,4.52803012607729,-0.818692436412996,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2016-06-06",NA,9.98346637132578,5.23524234673747,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2016-06-06",NA,7.66873261321993,3.61111800787968,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2016-06-06",NA,4.13436237777971,-0.459598092689216,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2016-06-06",NA,4.15196739509489,-0.854771521656424,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2016-06-06",NA,4.21276990860006,-0.593169878496392,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR","2016-06-06",NA,-0.0269420853841013,-2.12896266382716,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS","2016-06-06",NA,2.47060103306455,0.108536816176414,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2016-06-06",NA,1.58440602721282,-1.02826781245084,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2016-06-06",NA,-0.0269420853841013,-0.475092872245172,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2016-06-06",NA,-0.0269420853841013,-0.0220119459593575,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2016-06-06",NA,1.47160350886006,-1.36813505745555,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2016-06-06",NA,1.94416781623674,-2.12896266382716,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In","2016-07-11",NA,3.80980688653044,1.70176400768426,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out","2016-07-11",NA,3.89416007961686,1.53084899884426,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet","2016-07-11",NA,2.46680276545841,1.71779842477488,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated","2016-07-11",NA,2.4984549955096,2.49932779111763,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2016-07-11",NA,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2016-07-11",NA,0.364778167758816,0.108536816176414,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2016-07-11",NA,4.12981093234798,1.78538052347534,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2016-07-11",NA,4.60807612842148,2.07067437422842,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2016-07-11",NA,2.08801086436482,4.28297486498664,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2016-07-11",NA,2.0784299027303,1.23284638787861,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2016-07-11",NA,1.95498620553065,1.42217128300784,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2016-07-11",NA,2.97355496857798,0.996012108777176,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2016-07-11",NA,4.96628528651237,1.39109421251012,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2016-07-11",NA,2.05896378124881,1.5430826652171,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2016-07-11",NA,0.364778167758816,1.87612344686225,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2016-07-11",NA,3.40165138002033,2.20857036120774,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2016-07-11",NA,3.00394110942712,1.6259865402486,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2016-07-11",NA,2.00468020671102,0.108536816176414,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2016-07-11",NA,3.41906010654849,0.108536816176414,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2016-07-11",NA,0.364778167758816,0.108536816176414,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2016-07-11",NA,3.02514810356142,1.35245126202863,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","2016-07-11",NA,5.03332383915923,4.29126298108921,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated","2016-07-11",NA,0.364778167758816,1.15303062280531,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2016-07-11",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2016-07-11",NA,3.41098878788543,2.55681414572399,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2016-07-11",NA,3.73257544520553,2.03421092202975,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2016-07-11",NA,4.28490685959882,4.49804757482823,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2016-07-11",NA,3.5392087595105,0.129873957478701,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2016-07-11",NA,10.9299019794186,2.96828033507641,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2016-07-11",NA,2.66779442628347,0.108536816176414,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2016-07-11",NA,9.58681365432356,7.34564127666218,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2016-07-11",NA,1.97176188745778,2.21866610530183,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2016-07-11",NA,13.0628615585453,6.22358840069866,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2016-07-11",NA,2.76765721209498,1.79987088558686,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2016-07-11",NA,2.93937056012269,2.0125941523224,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2016-07-11",NA,2.08032903653337,0.108536816176414,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2016-07-11",NA,2.35174690922233,1.55365350315092,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR","2016-07-11",NA,0.364778167758816,0.965962423414758,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS","2016-07-11",NA,5.71592728609868,1.63020351767164,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2016-07-11",NA,0.364778167758816,0.108536816176414,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2016-07-11",NA,1.97872537806904,1.40696828013674,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2016-07-11",NA,2.00246455060744,3.61104737606719,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2016-07-11",NA,2.2113692689453,0.108536816176414,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2016-07-11",NA,2.927817496154,0.108536816176414,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In","2016-08-01",NA,4.20066679633729,0.129873957478701,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out","2016-08-01",NA,4.21194431910583,0.129873957478701,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet","2016-08-01",NA,2.40895036648608,1.49397627748608,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated","2016-08-01",NA,2.15818211714683,1.60417801506903,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2016-08-01",NA,7.7266156163723,2.11360689609131,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2016-08-01",NA,0.566954980958489,0.129873957478701,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2016-08-01",NA,3.05380538368142,2.02495752785115,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2016-08-01",NA,3.00932182164997,2.39571927781888,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2016-08-01",NA,6.20869237817945,3.26147388783399,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2016-08-01",NA,2.14549490403222,1.47028900363292,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2016-08-01",NA,9.80355939291107,2.50236284121787,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2016-08-01",NA,7.31717888697016,2.64672305096675,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2016-08-01",NA,5.83747392038179,2.54404431022987,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2016-08-01",NA,2.13766329099852,1.6575506278283,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2016-08-01",NA,6.04250554960421,1.35297091768207,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2016-08-01",NA,6.20195719097046,1.41569644543915,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2016-08-01",NA,5.53016142493918,1.86971947131134,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St","2016-08-01",NA,9.07365305816969,3.12382337797485,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated","2016-08-01",NA,2.70874451341634,0.129873957478701,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2016-08-01",NA,9.67433777785492,3.58862258851843,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2016-08-01",NA,10.8227655131175,3.04249368234168,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2016-08-01",NA,7.28757538970275,6.24159726007251,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2016-08-01",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2016-08-01",NA,4.99447909343371,0.129873957478701,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2016-08-01",NA,6.5532833516625,2.91277281780677,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2016-08-01",NA,2.98504382124548,1.98307273460007,NA,NA,NA,NA,NA
