site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,4/14/2000,field duplicate,1205,0.89,0,1.34,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/14/2000,NA,1211,1.14,0,1.34,0,0,23,23,NA
field_blank,field blank,NA,NA,4/15/2000,field blank,0,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,4/15/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/15/2000,NA,984,5.43,4.34,2.67,0,7,387,394,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/15/2000,NA,972,5.17,2.74,3.34,0,14,517,531,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,4/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/15/2000,NA,930,2.03,0,2,0,4,69,73,NA
R19,Val Vista WTP treated water,srp,val vista-treated,4/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/15/2000,NA,818,0.89,0,1.34,4,11,25,40,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,4/15/2000,field duplicate,811,1.19,0,1.34,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,4/30/2000,NA,499,0.3,0,0.67,0,0,26,26,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/15/2000,NA,1262,2,0,2,0,0,231,238,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,5/15/2000,NA,798,1.2,0,1.3,0,14,136,150,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/15/2000,NA,1190,2,1,1.3,0,7,281,288,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/15/2000,NA,1000,1.7,0.5,1.3,0,0,227,227,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/15/2000,NA,1298,1.4,0.1,1.3,0,0,18,18,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/15/2000,NA,1253,4.3,1.3,3.3,0,4,26,34,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,5/15/2000,field duplicate,1252,4,0.9,3.3,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/15/2000,NA,1253,2.5,0.8,2,0,0,91,91,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,5/16/2000,NA,737,0.6,0,1.3,11,0,81,92,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/16/2000,NA,790,0.9,0,1.3,4,0,18,22,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/16/2000,NA,795,0.3,0,0.7,8,0,27,35,NA
R3,Waddell Canal,cap,waddell canal,5/16/2000,NA,728,0,0,0,0,0,75,75,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/16/2000,NA,592,12.9,2.9,10.7,0,18,41,59,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/16/2000,NA,475,3.1,0.6,2.7,0,0,7,7,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/16/2000,NA,500,3.1,0.6,2.7,0,14,8,22,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/16/2000,NA,502,1.1,0,1.3,0,0,171,171,NA
field_blank,field blank,NA,NA,5/17/2000,field blank,0,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,5/17/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/17/2000,NA,923,3.8,0.4,3.3,0,0,460,460,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2000,NA,951,4.9,0,6,0,0,330,330,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2000,NA,1000,1.4,0,2,0,0,237,237,NA
R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2000,NA,748,0.3,0,0.7,0,0,87,87,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2000,field duplicate,749,0.3,0,0.7,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,5/30/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/13/2000,NA,1162,2.03525,0,2.67,0,58,259,317,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,6/13/2000,NA,760,1.48125,0.06675,1.335,0,18,62,80,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/13/2000,NA,1145,2.03525,0,2.0025,0,7,300,307,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/13/2000,NA,1009,2.3295,0.33375,2.0025,0,0,330,330,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/13/2000,NA,1255,0.5945,0,0.6675,0,4,14,18,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2000,NA,1190,4.58,0,4.6725,0,7,101,108,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2000,field duplicate,1170,4.28375,1.335,3.3375,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/13/2000,NA,1154,2.8835,0.1335,2.67,7,21,201,229,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,6/14/2000,NA,799,2.03525,0,2.0025,93,86,78,257,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/14/2000,NA,900,0.33675,0,0.6675,0,18,18,44,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/14/2000,NA,897,0.0425,0,0.6675,0,36,0,40,NA
R3,Waddell Canal,cap,waddell canal,6/14/2000,NA,841,0.081,0,0.6675,0,7,44,51,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/14/2000,NA,605,9.49675,0.6675,8.6775,0,439,166,619,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/14/2000,NA,485,4.32225,0.20025,4.005,21,14,201,243,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/14/2000,NA,502,7.01325,9.41175,1.335,7,29,57,93,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/14/2000,NA,515,1.185,0,2.0025,0,14,201,215,NA
field_blank,field blank average,NA,NA,6/15/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,6/15/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/15/2000,NA,1252,6.61525,0.534,6.0075,7,21,735,763,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/15/2000,NA,1290,3.4355,0,3.3375,0,14,432,446,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,6/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/15/2000,NA,1182,5.1725,0.46725,4.6725,0,0,440,440,NA
R19,Val Vista WTP treated water,srp,val vista-treated,6/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2000,NA,897,0.633,0,1.335,7,14,129,164,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2000,field duplicate,899,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,6/30/2000,NA,749,1.7,0,2,0,14,78,92,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,7/18/2000,NA,830,2.07375,1.00125,1.335,36,26,22,167,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/18/2000,NA,898,2.03525,1.00125,1.335,7,50,273,337,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/18/2000,NA,912,0.88875,0.267,0.6675,4,0,44,48,NA
R3,Waddell Canal,cap,waddell canal,7/18/2000,NA,846,0.85025,0.267,0.6675,0,4,18,22,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/18/2000,NA,670,9.716,1.13475,8.6775,0,29,355,391,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/18/2000,NA,503,2.58725,0.801,2.0025,14,144,129,323,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/18/2000,NA,500,1.40225,0.06675,1.335,0,14,28,42,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/18/2000,NA,502,2.766,1.26825,2.0025,7,21,301,329,NA
field_blank,field blank average,NA,NA,7/19/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,7/19/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/19/2000,NA,1143,4.28175,0.20025,4.005,0,14,337,358,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/19/2000,NA,1189,0.84825,0,1.335,0,7,259,266,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,7/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/19/2000,NA,1247,4.83375,1.13475,4.005,0,0,301,301,NA
R19,Val Vista WTP treated water,srp,val vista-treated,7/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/19/2000,NA,875,0.554,0,0.6675,11,15,152,178,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,7/19/2000,field duplicate,860,0.554,0,0.6675,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/20/2000,NA,1435,4.32425,0.20025,4.005,0,7,230,237,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,7/20/2000,NA,890,0.92925,0,1.335,0,0,237,237,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/20/2000,NA,1405,3.77225,0,4.6725,0,0,503,503,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/20/2000,NA,1348,3.77225,0,4.005,0,0,482,482,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/20/2000,NA,1453,4.91475,0,4.6725,4,8,247,313,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/20/2000,NA,1399,9.93325,1.602,8.6775,122,252,1094,1518,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,7/20/2000,field duplicate,1400,10.2295,0,10.0125,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/20/2000,NA,1400,15.58075,14.35125,6.675,0,157,5030,5201,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,7/27/2000,NA,587,1.4,0.1,1.3,0,0,49,49,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,8/15/2000,NA,758,0.88875,0,1.335,29,50,51,141,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/15/2000,NA,805,3.17775,0.60075,2.67,14,50,424,488,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/15/2000,NA,810,2.03125,0,2.0025,7,22,223,252,NA
R3,Waddell Canal,cap,waddell canal,8/15/2000,NA,792,1.183,0,1.335,0,50,63,113,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/15/2000,NA,587,6.65775,0.534,6.0075,7,65,179,251,NA
R5dup,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/15/2000,only field duplicate,595,6.323,1.2015,5.34,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/15/2000,NA,480,2.3315,0.33375,2.0025,19,22,40,81,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/15/2000,NA,480,2.216,0.33375,2.0025,8,18,39,65,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/15/2000,NA,490,3.245,2.20275,2.0025,0,180,128,308,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/16/2000,NA,1455,3.13725,1.7355,2.0025,0,4,187,191,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,8/16/2000,NA,804,5.42625,0.9345,4.6725,4,15,199,218,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/16/2000,NA,1370,3.13725,1.7355,2.0025,0,0,229,229,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/16/2000,NA,1221,4.24125,1.335,3.3375,0,21,138,159,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/16/2000,NA,1510,2.54475,0,4.6725,4,8,33,45,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/16/2000,NA,1500,14.46875,3.40425,12.015,36,47,65,148,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,8/16/2000,field duplicate,1500,5.1705,0.46725,4.6725,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/16/2000,NA,1500,1.104,0,1.335,0,36,19,55,NA
field_blank,field blank average,NA,NA,8/17/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,8/17/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/17/2000,NA,990,6.2805,1.2015,5.34,0,7,985,992,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/2000,NA,995,1.6985,0.534,1.335,0,14,906,920,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/17/2000,NA,875,2.54875,0.801,2.0025,0,29,245,274,NA
R19,Val Vista WTP treated water,srp,val vista-treated,8/17/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/17/2000,NA,712,2.291,0.33375,2.0025,0,14,129,143,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,8/17/2000,field duplicate,711,1.99475,1.00125,1.335,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,8/30/2000,NA,470,6.7,1.7,5.3,7,36,136,179,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,9/12/2000,NA,837,0.25575,0.46725,0,14,36,100,164,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/12/2000,NA,945,3.4355,0,4.005,21,36,475,532,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/12/2000,NA,920,3.13925,0,3.3375,14,21,302,337,NA
R3,Waddell Canal,cap,waddell canal,9/12/2000,NA,918,2.8025,0.1335,2.67,14,43,216,273,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/12/2000,NA,640,20.9705,2.8035,18.69,7,14,344,365,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/12/2000,NA,535,4.28375,0,4.6725,36,21,58,115,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/12/2000,NA,530,3.65275,0,4.005,11,15,72,98,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/12/2000,NA,517,3.793,0,4.005,0,0,193,193,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/13/2000,NA,1451,2.8045,0.1335,2.67,0,0,136,136,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,9/13/2000,NA,892,2.50825,0,2.67,0,43,65,108,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/13/2000,NA,1195,2.843,0,3.3375,0,0,193,193,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/13/2000,NA,890,1.7005,0,2.0025,7,0,129,136,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/13/2000,NA,1485,7.72125,0.1335,7.3425,0,11,55,66,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2000,NA,1435,7.72125,1.26825,6.675,50,50,71,171,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2000,field duplicate,1436,7.3845,1.93575,6.0075,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/13/2000,NA,1420,7.977,0,9.345,57,28,93,178,NA
field_blank,field blank average,NA,NA,9/14/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,9/14/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/14/2000,NA,939,3.14325,0,3.3375,0,79,192,271,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/14/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/14/2000,NA,980,1.40425,0.06675,1.335,7,36,388,431,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,9/14/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/14/2000,NA,998,1.99675,1.00125,1.335,7,79,100,193,NA
R19,Val Vista WTP treated water,srp,val vista-treated,9/14/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/14/2000,NA,916,1.7005,0.534,1.335,0,7,222,229,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,9/14/2000,field duplicate,914,1.108,0.73425,0.6675,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,9/30/2000,NA,552,2.4,0,2.7,0,36,94,130,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,10/17/2000,NA,745,2.62775,0,2.67,115,0,1152,1267,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/17/2000,NA,837,4.028,2.0025,2.67,14,0,274,288,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/17/2000,NA,840,2.8835,0.1335,2.67,0,14,180,202,NA
R3,Waddell Canal,cap,waddell canal,10/17/2000,NA,866,4.87625,1.13475,4.005,29,101,166,295,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/17/2000,NA,590,2.37,0.33375,2.0025,0,43,425,468,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/17/2000,NA,530,6.02075,1.869,4.6725,0,86,346,432,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/17/2000,NA,495,2.50625,0.801,2.0025,0,86,720,806,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/17/2000,NA,491,4.79725,1.13475,4.005,0,58,677,734,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2000,NA,1394,4.28575,2.46975,2.67,0,14,137,151,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,10/18/2000,NA,802,4.83775,1.13475,4.005,22,36,108,166,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/18/2000,NA,1210,4.24725,2.46975,2.67,0,22,338,497,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/18/2000,NA,980,4.24525,2.46975,2.67,0,79,418,497,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/18/2000,NA,1422,2.293,0.33375,2.0025,0,130,216,346,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/18/2000,NA,1365,8.9595,2.46975,7.3425,22,50,590,706,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,10/18/2000,field duplicate,1367,7.63825,2.403,6.0075,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/18/2000,NA,1372,2.8045,1.26825,2.0025,0,7,1238,1246,NA
field_blank,field blank average,NA,NA,10/19/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,10/19/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/19/2000,NA,995,2.843,1.26825,2.0025,7,7,94,108,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/19/2000,NA,1000,1.1465,0,1.335,0,50,173,223,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,10/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/19/2000,NA,912,3.476,1.068,2.67,0,43,115,158,NA
R19,Val Vista WTP treated water,srp,val vista-treated,10/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/19/2000,NA,810,4.28375,1.335,3.3375,50,7,216,274,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,10/19/2000,field duplicate,800,3.9875,2.0025,2.67,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/2000,NA,412,2.3,0,2.7,0,36,648,684,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,11/14/2000,NA,740,3.4355,0,3.3375,22,58,324,612,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/14/2000,NA,762,3.73175,0.4005,3.3375,0,7,115,122,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/14/2000,NA,760,3.474,0,3.3375,22,0,274,295,NA
R3,Waddell Canal,cap,waddell canal,11/14/2000,NA,750,3.4355,0,4.005,22,36,223,418,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/14/2000,NA,548,3.77025,0.4005,3.3375,0,0,562,562,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/14/2000,NA,600,3.72975,0.4005,3.3375,0,7,1296,1303,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/14/2000,NA,503,4.83775,1.13475,4.005,7,0,792,799,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/14/2000,NA,510,5.42825,0.9345,4.6725,22,158,468,648,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/2000,NA,1380,3.476,1.068,2.67,7,94,223,323,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/2000,NA,723,3.9875,0.86775,3.3375,0,29,216,252,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/2000,NA,985,3.474,2.20275,2.0025,0,353,79,432,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/2000,NA,908,3.474,1.068,2.67,0,108,706,814,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2000,NA,1397,2.03325,0,2.0025,7,194,468,670,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2000,NA,1369,4.028,0.86775,3.3375,0,245,158,403,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2000,field duplicate,1370,4.87625,1.13475,4.005,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/2000,NA,1390,4.32225,1.335,3.3375,22,79,482,583,NA
field_blank,field blank,NA,NA,11/16/2000,field blank,0,0,0,0,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,11/16/2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/16/2000,NA,900,1.48325,0,2.0025,0,7,641,648,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/16/2000,NA,999,1.48325,0,2.0025,0,7,338,346,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,11/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/16/2000,NA,885,1.741,0,2.0025,7,36,266,310,NA
R19,Val Vista WTP treated water,srp,val vista-treated,11/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,NA,770,0.93125,0,1.335,14,0,50,151,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,field duplicate,765,1.189,0,2.0025,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/2000,NA,NA,NA,NA,NA,0,0,0,0,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,12/12/2000,NA,721,4.503,1.80225,3.3375,7,22,389,418,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/12/2000,NA,712,4.505,0.6675,4.005,7,0,1116,1123,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/12/2000,NA,710,3.951,0.86775,3.3375,0,65,317,382,NA
R3,Waddell Canal,cap,waddell canal,12/12/2000,NA,699,4.24725,2.46975,2.67,14,0,288,302,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/12/2000,NA,479,6.9095,2.136,5.34,0,0,619,619,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/12/2000,NA,498,2.8855,1.26825,2.0025,14,0,1656,1678,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/12/2000,NA,453,3.14525,0.60075,2.67,0,0,245,245,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/12/2000,NA,491,3.399,1.068,2.67,0,0,302,302,NA
